Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Product,Region,State,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode
ORD1002,2026-06-13,CUST1048,Riya Desai,Electronics,Monitor,West,Goa,5,9409,0,47045,31898.15,15146.85,UPI
ORD1003,2026-06-01,CUST1013,Riya Desai,Accessories,Keyboard,West,Goa,1,830,0,830,561.78,268.22,Cash
ORD1004,2026-02-26,CUST1028,Kunal More,Accessories,Mouse,North,Haryana,5,1606,0,8030,6562.84,1467.16,Debit Card
ORD1005,2026-02-09,CUST1039,Rahul Verma,Furniture,Bookshelf,South,Tamil Nadu,2,9014,0,18028,12958.19,5069.81,UPI
ORD1006,2026-04-28,CUST1013,Rohan Mehta,Electronics,Monitor,South,Telangana,7,24943,0,174601,133313.2,41287.8,UPI
ORD1007,2026-06-19,CUST1030,Isha Gupta,Furniture,Table Lamp,East,Odisha,2,1985,0,3970,3355.78,614.22,Credit Card
ORD1008,2026-04-05,CUST1047,Pooja Shah,Office Supplies,Stapler,North,Haryana,5,227,0,1135,883.45,251.55,Credit Card
ORD1009,2026-04-29,CUST1003,Kunal More,Accessories,Backpack,West,Maharashtra,4,2005,0.05,7619.0,6393.42,1225.58,Cash
ORD1010,2026-03-10,CUST1030,Vikram Singh,Electronics,Headphones,East,Bihar,6,2928,0,17568,13885.99,3682.01,Debit Card
ORD1011,2026-02-05,CUST1015,Vikram Singh,Furniture,Table Lamp,East,Odisha,5,3099,0.15,13170.75,9632.99,3537.76,Net Banking
ORD1012,2026-05-07,CUST1028,Kavya Iyer,Electronics,Headphones,North,Haryana,1,7391,0,7391,4876.13,2514.87,UPI
ORD1013,2026-04-09,CUST1047,Sneha Kulkarni,Accessories,Backpack,West,Goa,8,3340,0.15,22712.0,15566.07,7145.93,Net Banking
ORD1014,2026-03-10,CUST1047,Rahul Verma,Office Supplies,Printer Paper,West,Goa,5,307,0.1,1381.5,913.34,468.16,Net Banking
ORD1015,2026-02-15,CUST1049,Neha Joshi,Electronics,Monitor,North,Punjab,5,23262,0.15,98863.5,76948.65,21914.85,Net Banking
